NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
STRABAG SE;AT000000STR1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;771000;997704;976651;968759;908584;892154;836246;876651;844209;833816;742063;771799;813242;819934;790336;790336
FLUGHAFEN WIEN;AT00000VIE62;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;11461;11796;8455;8958;9648;4745;5663;7567;9027;9847;9847
RAIFFEISEN BANK INTL.;AT0000606306;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;224;321;6988;5161;5296;8476;6027;6270;7696;7455;6392;4827;6049;12403;9375;9375
ERSTE GROUP BANK;AT0000652011;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2561;2185;67623;38798;32753;32244;25493;22630;27967;27297;29950;24929;21530;20707;18701;16803;16803
TELEKOM AUSTRIA;AT0000720008;N/A;N/A;N/A;N/A;N/A;N/A;N/A;14813,3;29430,22;16027,64;15937;14783,36;14172;28649;27476;25853;27584;27419;27867;23833;22758;23766;23732;24048;20964;18807;18807
ANDRITZ;AT0000730007;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;23655;24985;23160;25939;28205;60906;54641;54214;54214
OMV;AT0000743059;N/A;N/A;N/A;5000000;7500000;7800000;7200000;14100000;12100000;12000000;11732400;12206700;11556000;10991000;12900000;13100000;12200000;11000000;11100000;11100000;12648004;10900000;13500000;11700000;9307079;9778526;9778526
VERBUND;AT0000746409;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3701000;3407000;2885000;2220911;3246066;3658083;3087000;2782000;1765000;1737000;1007000;1358000;1070000;1073000;654000;454000;585000;292348;499696;499696
WIENERBERGER;AT0000831706;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2353300;2483500;2767700;1909400;1723188;1723188
VIENNA INSURANCE GROUP A;AT0000908504;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;16213;13512;14210;15980;19490;17946;17946
VOESTALPINE;AT0000937503;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;14300000;12700000;13610000;12440000;14450000;12710000;12540000;12540000
MAYR-MELNHOF KARTON;AT0000938204;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;500000;500000;530000;530000;530000;1290000;1080000;850000;880116;880116
CPI EUROPE AGE;AT0000A21KS2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;298;298;298;298;18134;18714;17686;17686
JAMES HARDIE INDUSTRIES CDI;AU000000JHX1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;330836;313736;370185;365779;331274;326086
