NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
STRABAG SE;AT000000STR1;N/A;N/A;N/A;N/A;N/A;5638446;6807347;8407903;12235949;14642998;15658030;17512594;17097457;18063959;17782013;16864581;14151345;14305220;13401141;16801595;17456631;17325632;17741750;17282251;18627478;19084356;17969915
FLUGHAFEN WIEN;AT00000VIE62;359354;303897;305607;275645;341821;433440;519086;496002;601881;772905;701805;699960;737163;766612;831865;840810;714797;713316;801440;936780;917064;948316;401359;459795;757889;1006309;1085832
RAIFFEISEN BANK INTL.;AT0000606306;N/A;N/A;N/A;N/A;1389943;2140377;3111777;3667003;6213652;9470902;10870652;10495943;13230807;12904673;13350128;11456741;8683838;7617442;6943100;8782913;8635536;8620798;8688552;8596766;13995351;16113074;14832059
ERSTE GROUP BANK;AT0000652011;3821257;3214362;3971586;4585695;7667985;8361983;9267310;9421937;14539580;20887461;18638465;18511387;16422569;15710231;16802146;13793159;10402977;10178337;9519307;10644976;11171973;11155927;11214906;10982736;15539458;24970079;23887041
TELEKOM AUSTRIA;AT0000720008;3843900;3618630;2626752;2290273;3347278;4938921;5286794;5276545;6175387;7291355;6620737;6699782;6422271;5867678;5930020;5655859;4557637;4389168;4457693;5322949;4981141;4941993;5369390;5271007;5378471;5573291;5482120
ANDRITZ;AT0000730007;756052;637422;1037295;1135553;1191716;1524058;1930734;2108437;3515737;4865615;4622464;4461212;4907365;6053888;7090325;7719819;6646258;6951476;6526299;7324554;6916965;7379706;8058604;7301038;8252465;9355003;8575055
OMV;AT0000743059;5359238;5034783;6957456;6661916;7599820;9510736;12877536;18832144;24613486;29708206;32708004;24998376;32206947;44855204;58412968;57336161;40736660;24555513;20814217;25151290;26296476;25942159;19907191;40165312;68158410;42630077;35049249
VERBUND;AT0000746409;1696723;1252044;1212952;1450806;2224531;3083101;4011755;3030004;3734379;4503656;4795192;4859661;4567824;5091543;4347565;4300862;3205043;3237061;3021472;3623377;3266042;4306947;3890729;5396005;11319351;11288122;8503748
WIENERBERGER;AT0000831706;1298114;1300257;1558946;1330296;1775240;2272916;2292417;2362611;2886923;3672147;3113460;2534937;2409299;2665646;3226192;3599765;3215185;3240012;3213807;3880163;3790315;3832866;4035084;4486255;5444896;4563362;4654528
VIENNA INSURANCE GROUP A;AT0000908504;1907080;2680326;2822384;2726934;3655863;4545502;5409962;6067734;7745286;10691804;11111520;12190035;12901180;12644590;14402902;13415674;11016880;10378082;10263060;12401122;11628716;11943247;12561021;12107047;13419449;12093007;13089126
VOESTALPINE;AT0000937503;2859021;2509955;2530878;2726376;4351801;5749789;7081047;7814646;9061142;13873390;15662262;11957381;14169934;15667290;16207323;15215854;12549306;12333880;11660176;15738151;15351270;14581946;13367408;16031331;19269537;18394031;16542387
MAYR-MELNHOF KARTON;AT0000938204;1027391;885920;1006362;966941;1358733;1643055;1853661;1759003;1962413;2574686;2216842;2234414;2456438;2581174;2673698;2702788;2367730;2377993;2456136;2906420;2680862;2813497;3041288;3467755;5122504;4498614;4207883
CPI EUROPE AGE;AT0000A21KS2;28975;28533;47905;47573;125715;142461;277661;605627;550812;1102877;1031871;1249849;1099435;1152195;1642589;934274;702823;647435;416241;441852;409007;386135;463862;452726;466974;819537;912847
JAMES HARDIE INDUSTRIES CDI;AU000000JHX1;N/A;N/A;469906;512674;654666;1042121;1209786;1395461;1611569;1629562;1100075;1067884;1207677;1146451;1384444;1467463;1395174;1683850;1824195;2210605;2349257;2531254;2909638;3308121;3981189;3843327;3739083
