NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
STRABAG SE;AT000000STR1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;119,39;36,07;62,16;64,03;65,12;62,04;67,41;53,93;59,73;91,3;110,24;92,06;89,93;99,95;148,62;147,45;170,82;231,32
FLUGHAFEN WIEN;AT00000VIE62;192,84;156,56;163,56;133,12;179,72;288,12;408,94;463,93;588,11;658,45;242,42;331,72;484,69;289,89;499,66;653,73;714,85;748,49;980,65;1578,46;1454,16;1450,94;1293,18;1162,6;1367,24;2035,5;2114,56
RAIFFEISEN BANK INTL.;AT0000606306;N/A;N/A;N/A;N/A;N/A;N/A;N/A;189,83;369,61;311,27;47,58;136,64;154,14;96,98;116,33;117,1;37,5;41,29;73,36;135,57;87,26;78,06;68,28;105,89;61,75;78,06;83,69
ERSTE GROUP BANK;AT0000652011;101,39;92,68;120,18;124,1;167,43;335,22;510,27;601,79;849,25;588,61;157,84;481,86;644,54;308,86;425,48;459,95;286,73;371,01;417,71;685,49;504,64;542,64;467,42;743,44;627,31;747,98;1113,07
TELEKOM AUSTRIA;AT0000720008;N/A;N/A;66,58;93,67;124,65;174,87;239,64;298,94;353,11;378,32;196,6;211,73;229,21;207,94;141,5;160,54;133,38;112,21;129,72;209,41;166,96;181,84;179,82;217,55;174,01;269,41;269,88
ANDRITZ;AT0000730007;N/A;N/A;N/A;81,19;115,84;244,35;434,13;627,12;1176,62;1127,49;667,04;1434,12;2077,66;2376,54;3487,52;2917,75;2959,59;2511,51;3027,28;3414,25;2949,2;2426,27;2988,22;3546,99;4200,36;4256,85;4084,5
OMV;AT0000743059;348,09;381,95;328,73;364,53;465,69;792,8;1467,16;3322,76;2715,75;3609,64;1408,21;2195,64;2628,73;2002,64;2542,78;2730,15;1723,88;1722,46;2608,19;4650,33;3741,95;3880,02;3629,04;5483,49;4396,71;4570,85;4756,91
VERBUND;AT0000746409;754,66;483,49;507,07;378,42;435,8;653,57;1143,6;2276,59;2501,75;3445,28;2008,95;2363,42;2399,17;1752,76;1347,94;1384,65;1201,95;829,58;1162,87;1989,24;3810,93;3900,85;7215,5;8447,32;6750,58;6647,51;6647,94
WIENERBERGER;AT0000831706;2820,96;2317,58;2318,81;1843,97;2228,48;4078,33;6506,17;6341,27;9222,13;7268,57;1870,21;3422,85;3929,34;2091,47;1851,13;2835,36;2599,44;2907,39;3686,01;5147,26;4428,76;5706,88;7068,45;7620,07;6663,23;7433,69;6497,93
VIENNA INSURANCE GROUP A;AT0000908504;171,78;158,91;160,46;150,74;188,15;311,66;495,11;719,18;846,6;929,2;355,7;647,75;736,14;596,96;750,03;684,11;646,81;380,93;396,37;584,71;426,62;484,79;493,16;586,97;571,45;618,72;753,7
VOESTALPINE;AT0000937503;141,88;155,34;134,35;143,36;140,88;257,87;446,18;683,82;1426,95;1555,34;528,96;1057,15;1324,71;1057,9;1139,92;1375,86;1169,55;861,58;1511,47;2241,84;1169,7;932,05;1442,2;1347,79;1415,78;1295,44;915,32
MAYR-MELNHOF KARTON;AT0000938204;99,75;105,4;102;116,95;188,61;291,06;397,64;379,8;478,81;503,16;336,45;520,19;652,45;538,49;686,12;715,96;649,01;716,48;756,55;1083,03;912,88;981,56;1460,7;1474,12;1286,52;1010,89;621,1
CPI EUROPE AGE;AT0000A21KS2;138,14;129,86;139,31;138,98;187,29;235,64;278,78;309,55;473,38;303,98;35,72;107,02;140,93;113,92;155,85;171,59;109,55;87,2;87,11;120,37;131,47;143,9;110,78;139,7;73,34;125,42;92,04
JAMES HARDIE INDUSTRIES CDI;AU000000JHX1;846,04;1019,96;983,95;1749,95;2319,21;3224,06;3448,48;4438,93;4939,06;4116,84;1745,96;4930,83;4643,67;5657,48;7879,84;9026,23;8091,1;9263,67;13409,32;16142,24;9693,8;19208,78;25908,17;30890,68;22937,95;37801,19;32249,42
SOLVAY;BE0003470755;3625,29;3777,66;3248,08;3750,05;3910,91;5200,15;7041,05;7349,95;10382,85;8723,9;4818,69;7369,01;7918,49;7956,75;12728,76;11179,97;11281,37;7016,88;10882,85;13210,96;10517,02;10316,56;11644,46;12924,13;12893,59;11634,65;13729,94
KBC GROUP;BE0003565737;6043,25;3095,82;3480,37;2499,44;2487,68;4640,36;6762,59;9006,73;11454,95;11671,06;1671,82;4368,13;4016,57;2060,03;3809,85;5698,59;5408,37;5654,42;6724,62;10215,88;7471,41;8390,06;8213,83;10513,32;9884,47;8804,25;10909,77
COFINIMMO;BE0003593044;164,48;131,08;128,74;127,82;175,73;236,13;286,5;301,53;393,58;406,25;247,22;320,02;338,78;309,88;335,04;334,15;374,03;351,36;374,55;456,47;483,66;584,48;584,93;582,22;398,6;303,22;259,5
SOFINA;BE0003717312;3699,88;2478,78;2965,38;2961,12;2570,5;4154,6;6120,06;8171,61;9644,44;9526,68;5595,19;8386,28;8883,66;7452,26;9427,71;11252,44;10350,03;10567,2;14031,94;18141,52;21189,33;24554,15;37161,03;43981,35;28130,51;26099,14;27442,75
ORANGE BELGIUM;BE0003735496;292,8;141,3;95,73;53,78;80,47;212,13;286,94;247,9;306,36;346,7;307,08;265,92;316,66;271,65;159,07;116,66;136,22;129,32;140,06;132,84;120,35;132,82;181,74;149,6;125,6;95,96;104,74
UCB;BE0003739530;19974,8;11149,61;12720,47;14271,46;10363,9;13905,08;18227,79;18007,47;24313,19;18524,05;12153,16;18424,11;15020,64;17325,95;25744,12;31595,99;35415,16;39572,67;32977,55;39074,81;41525,61;44125,87;50422,56;48419,07;39407,64;46280,66;96042,55
AGFA-GEVAERT;BE0003755692;N/A;86,17;106,92;53,55;110,86;142,19;175,63;85,8;133,56;60,79;17,78;41,33;25,92;11,07;12,06;16,92;13,67;23,26;23,6;28,45;23,03;28,34;26,83;24,64;18,73;7,66;5,17
GBL NEW;BE0003797140;1065,57;1033,99;1270,58;1539,28;1153,94;1715,44;2571,46;3367,58;3688,43;3752,25;2306,43;3157,78;3209,14;2672,26;3139,54;3432,48;3287,93;3039,44;3576,46;4997,51;4133,02;4513,05;4708,65;5101,8;4257,24;3746,21;3423,48
PROXIMUS;BE0003810273;N/A;N/A;N/A;N/A;N/A;N/A;167,84;130,87;200,01;230,71;170,26;192,11;211,18;188,51;202,13;203,5;285,85;270,86;236,34;286,69;238,81;264,74;204,18;202,47;118,73;113,96;76,4
