strategy,formation_year,wealth_musd,WACI,carbon_footprint,attributed_emissions_tonnes,n_assets_used,n_assets_dropped
Minimum-Variance,2013,1.0,26.436774601049933,12.350903862695375,12.350903862695375,280,0
Value-Weighted,2013,1.0,109.84695443277008,188.55602175031208,188.55602175031208,477,0
Minimum-Variance,2014,1.1345516704799414,70.4743858217359,431.12064900831643,489.12865251078193,280,0
Value-Weighted,2014,0.9533063744323474,102.90359514726958,162.99528696893958,155.38444606991985,493,0
Minimum-Variance,2015,1.2447326883719554,36.82010193180722,73.8587401652501,91.93438820565747,239,0
Value-Weighted,2015,0.93733185336506,123.87700194184471,168.7911243810458,158.21329744765802,509,0
Minimum-Variance,2016,1.114765608150297,73.4900338287185,402.89455763611414,449.1329965636677,297,0
Value-Weighted,2016,0.9313240950275758,119.72644067264056,176.73586449454262,164.59836905929618,515,0
Minimum-Variance,2017,1.148731310190832,169.1277044831472,250.27769987099876,287.5018300843602,275,0
Value-Weighted,2017,1.1738497280891906,135.3294956460484,158.02671749366033,185.49961936076053,529,0
Minimum-Variance,2018,1.0833566113891695,93.85040101661325,135.71797812457586,147.03096888562993,282,0
Value-Weighted,2018,1.0097668958481938,107.12576144718129,122.92442176894679,124.12501179356353,549,0
Minimum-Variance,2019,1.2520788320841456,24.271874493132096,19.585780230236697,24.52294083613151,347,0
Value-Weighted,2019,1.273948886794142,110.10848302952748,130.4502780347849,166.18698648440053,574,0
Minimum-Variance,2020,1.3486332022094165,52.913848440976054,23.689361025744933,31.948258818445336,307,0
Value-Weighted,2020,1.3390739314654974,107.4367872891689,106.56230922542858,142.69481036053668,593,0
Minimum-Variance,2021,1.4619852903834107,40.32977985838893,15.143750337202045,22.139940234228206,324,1
Value-Weighted,2021,1.5924954904300448,105.2416052909987,100.14956575981243,159.48773184102853,599,1
Minimum-Variance,2022,1.3297468827416066,28.555060775149116,30.671964795199788,40.78594957397722,283,0
Value-Weighted,2022,1.3506481554949898,81.8197067001769,83.72099609465695,113.07760895145167,592,0
Minimum-Variance,2023,1.2313733755321516,27.24704288438723,97.982235753298,120.65271638172564,305,1
Value-Weighted,2023,1.6193647253073709,58.76393094016816,80.88730821615943,130.98605365031364,572,4
Minimum-Variance,2024,1.3021276233385233,24.721422745256312,44.01503553711643,57.313193615106066,258,1
Value-Weighted,2024,1.6606443274378184,60.898841201610566,74.32103989894856,123.4208133174687,563,1
