ISIN,NAME,Minimum-Variance,Minimum-Variance 50% CF Reduction,weight_change,comparison,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
GB0001667087,CAMELLIA,0.028092822031953804,0.005486747206357074,-0.02260607482559673,Minimum-Variance 50% CF Reduction,,,
DE0005200000,BEIERSDORF,0.049195159660134845,0.04355942916919299,-0.005635730490941855,Minimum-Variance 50% CF Reduction,,,
CH0008742519,SWISSCOM 'R',0.06832719853968808,0.06343366340677019,-0.0048935351329178894,Minimum-Variance 50% CF Reduction,,,
IL0002300114,BEZEQ ISRAELI TELECOMMUNICATION,0.060258364099340225,0.05663013088105069,-0.003628233218289534,Minimum-Variance 50% CF Reduction,,,
ES0112501012,EBRO FOODS,0.11199684232755341,0.10890167261859734,-0.0030951697089560692,Minimum-Variance 50% CF Reduction,,,
BMG850801025,STOLT-NIELSEN,0.0016483403687036966,0.0,-0.0016483403687036966,Minimum-Variance 50% CF Reduction,,,
CH0044328745,CHUBB,0.0013003361684214899,0.0,-0.0013003361684214899,Minimum-Variance 50% CF Reduction,,,
GB00B3CX3644,STV GROUP,0.07111813306765108,0.06984121065021377,-0.0012769224174373067,Minimum-Variance 50% CF Reduction,,,
BE0974256852,COLRUYT GROUP,0.07608093353978214,0.07487362998179123,-0.0012073035579909103,Minimum-Variance 50% CF Reduction,,,
GB0006776081,PEARSON,0.0555560630041357,0.0549281140019326,-0.0006279490022031015,Minimum-Variance 50% CF Reduction,,,
CH0126881561,SWISS RE,1.514157901814461e-17,0.0,-1.514157901814461e-17,Minimum-Variance 50% CF Reduction,,,
AT0000938204,MAYR-MELNHOF KARTON,1.4142498976758958e-17,0.0,-1.4142498976758958e-17,Minimum-Variance 50% CF Reduction,,,
CH0008038389,SWISS PRIME SITE,9.690495522248683e-18,0.0,-9.690495522248683e-18,Minimum-Variance 50% CF Reduction,,,
BE0003565737,KBC GROUP,9.117341676146717e-18,0.0,-9.117341676146717e-18,Minimum-Variance 50% CF Reduction,,,
CH0000816824,OC OERLIKON CORPORATION,7.185280161238935e-18,0.0,-7.185280161238935e-18,Minimum-Variance 50% CF Reduction,,,
DE0007314007,HEIDELB.DRUCKMASCHINEN,7.092168638077852e-18,0.0,-7.092168638077852e-18,Minimum-Variance 50% CF Reduction,,,
AT000000STR1,STRABAG SE,7.08046841582353e-18,0.0,-7.08046841582353e-18,Minimum-Variance 50% CF Reduction,,,
FR0000064578,COVIVIO,6.52199517857324e-18,0.0,-6.52199517857324e-18,Minimum-Variance 50% CF Reduction,,,
DE0005810055,DEUTSCHE BOERSE,6.410182787938008e-18,0.0,-6.410182787938008e-18,Minimum-Variance 50% CF Reduction,,,
DK0010311471,AL SYDBANK,5.891498293502182e-18,0.0,-5.891498293502182e-18,Minimum-Variance 50% CF Reduction,,,
CH0012549785,SONOVA N,5.862355844014385e-18,0.0,-5.862355844014385e-18,Minimum-Variance 50% CF Reduction,,,
FI0009005318,NOKIAN RENKAAT,5.659023305761098e-18,0.0,-5.659023305761098e-18,Minimum-Variance 50% CF Reduction,,,
ES0125220311,ACCIONA,5.3200016438361576e-18,0.0,-5.3200016438361576e-18,Minimum-Variance 50% CF Reduction,,,
IE00BTN1Y115,MEDTRONIC,5.1417383024379274e-18,0.0,-5.1417383024379274e-18,Minimum-Variance 50% CF Reduction,,,
NO0003733800,ORKLA,4.871879187804771e-18,0.0,-4.871879187804771e-18,Minimum-Variance 50% CF Reduction,,,
GB0001570810,XAAR,4.8407029197069314e-18,0.0,-4.8407029197069314e-18,Minimum-Variance 50% CF Reduction,,,
FR0000131757,ERAMET,4.804458344560333e-18,0.0,-4.804458344560333e-18,Minimum-Variance 50% CF Reduction,,,
CH0022268228,EFG INTERNATIONAL N,4.763140570209974e-18,0.0,-4.763140570209974e-18,Minimum-Variance 50% CF Reduction,,,
AU000000JHX1,JAMES HARDIE INDUSTRIES CDI,4.589489416901633e-18,0.0,-4.589489416901633e-18,Minimum-Variance 50% CF Reduction,,,
GB0003452173,FIRST GROUP,4.485643078568308e-18,0.0,-4.485643078568308e-18,Minimum-Variance 50% CF Reduction,,,
GB00BP6MXD84,SHELL,4.389931641256369e-18,0.0,-4.389931641256369e-18,Minimum-Variance 50% CF Reduction,,,
DE0007664039,VOLKSWAGEN PREF.,4.2962693622715076e-18,0.0,-4.2962693622715076e-18,Minimum-Variance 50% CF Reduction,,,
DE0005439004,CONTINENTAL,4.234885487912445e-18,0.0,-4.234885487912445e-18,Minimum-Variance 50% CF Reduction,,,
FR0000124141,VEOLIA ENVIRON,4.075472737916534e-18,0.0,-4.075472737916534e-18,Minimum-Variance 50% CF Reduction,,,
DE000A0D6554,NORDEX,4.052090244518922e-18,0.0,-4.052090244518922e-18,Minimum-Variance 50% CF Reduction,,,
ES0113900J37,BANCO SANTANDER,4.005991475894969e-18,0.0,-4.005991475894969e-18,Minimum-Variance 50% CF Reduction,,,
