formation_year,oos_year,ISIN,NAME,weight
2013,2014,AT000000STR1,STRABAG SE,3.3611538759987363e-18
2013,2014,AT0000606306,RAIFFEISEN BANK INTL.,4.830600703590836e-18
2013,2014,AT0000652011,ERSTE GROUP BANK,0.0
2013,2014,AT0000720008,TELEKOM AUSTRIA,1.7936543889330863e-18
2013,2014,AT0000743059,OMV,0.0
2013,2014,AT0000746409,VERBUND,0.0
2013,2014,BE0003470755,SOLVAY,3.1566900900380675e-19
2013,2014,BE0003565737,KBC GROUP,0.0
2013,2014,BE0003593044,COFINIMMO,4.811705985686966e-19
2013,2014,BE0003735496,ORANGE BELGIUM,0.003752568287477534
2013,2014,BE0003739530,UCB,0.0
2013,2014,BE0003755692,AGFA-GEVAERT,0.0
2013,2014,BE0003810273,PROXIMUS,0.0
2013,2014,BE0974258874,BEKAERT (D),2.031562470298559e-18
2013,2014,BE0974264930,AGEAS (EX-FORTIS),1.539508028866621e-18
2013,2014,BE0974293251,ANHEUSER-BUSCH INBEV,1.2025349993952056e-18
2013,2014,CH0008742519,SWISSCOM 'R',0.016645806260993306
2013,2014,CH0010570759,CHOCOLADEFABRIKEN LINDT & SPRUENGLI,0.0
2013,2014,CH0010645932,GIVAUDAN 'N',0.0
2013,2014,CH0011075394,ZURICH INSURANCE GROUP,0.0
2013,2014,CH0012005267,NOVARTIS 'R',1.3754539707872711e-17
2013,2014,CH0012032048,ROCHE HOLDING,0.0
2013,2014,CH0012138530,CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,0.0
2013,2014,CH0012138605,ADECCO GROUP,2.085135431683802e-18
2013,2014,CH0012142631,CLARIANT,0.0
2013,2014,CH0012214059,HOLCIM,0.0
2013,2014,CH0012221716,ABB LTD N,0.0
2013,2014,CH0012549785,SONOVA N,0.0
2013,2014,CH0013841017,LONZA GROUP,1.963330468466667e-18
2013,2014,CH0014786500,VALIANT 'R',0.14838483894865223
2013,2014,CH0014852781,SWISS LIFE HOLDING,0.0
2013,2014,CH0018294154,PSP SWISS PROPERTY AG,6.811852650334958e-18
2013,2014,CH0024608827,PARTNERS GROUP HOLDING,0.0
2013,2014,CH0024638212,SCHINDLER 'R',0.0
2013,2014,CH0025238863,KUEHNE UND NAGEL INTERNATIONAL,0.0
2013,2014,CH0025751329,LOGITECH 'R',0.0
2013,2014,CH0030170408,GEBERIT 'R',5.695786237179253e-19
2013,2014,CH0038388911,SULZER 'R',3.3977334865948e-18
2013,2014,CH0038863350,NESTLE 'N',0.0
2013,2014,CH0044328745,CHUBB,0.049029173659206816
2013,2014,CH0048265513,TRANSOCEAN,6.799646018626635e-19
2013,2014,CH0102484968,JULIUS BAER GRUPPE,9.0617273039451e-19
2013,2014,CH0126881561,SWISS RE,3.444452330846566e-19
2013,2014,CH0210483332,RICHEMONT N,5.601406794584689e-18
2013,2014,CH0244767585,UBS GROUP,6.524472586987488e-19
2013,2014,CH0319416936,FLUGHAFEN ZURICH,3.658290913780253e-18
2013,2014,CH0418792922,SIKA,0.0
2013,2014,CH1169151003,GEORG FISCHER,1.6497579690856346e-18
2013,2014,CH1175448666,STRAUMANN HLDG.,4.308872208980747e-18
2013,2014,CH1256740924,SGS 'N',3.3709327362721806e-18
2013,2014,DE0005140008,DEUTSCHE BANK,5.231192231279539e-18
2013,2014,DE0005190003,BMW,3.652651837660728e-19
2013,2014,DE0005200000,BEIERSDORF,0.0
2013,2014,DE0005408884,LEONI DEAD - DELIST.21/08/23,1.2772595527576402e-18
2013,2014,DE0005439004,CONTINENTAL,0.0
2013,2014,DE0005470405,LANXESS,6.12239889645014e-19
2013,2014,DE0005552004,DEUTSCHE POST,0.0
2013,2014,DE0005557508,DEUTSCHE TELEKOM,0.0
2013,2014,DE0005773303,FRAPORT,0.0
2013,2014,DE0005810055,DEUTSCHE BOERSE,2.4876784143309275e-18
2013,2014,DE0005909006,BILFINGER BERGER,0.0
2013,2014,DE0006047004,HEIDELBERG MATERIALS,5.5038101066307604e-18
2013,2014,DE0006048432,HENKEL PREFERENCE,0.0
2013,2014,DE0006070006,HOCHTIEF,0.0
2013,2014,DE0006202005,SALZGITTER,5.473507327366522e-18
2013,2014,DE0006231004,INFINEON TECHNOLOGIES,0.0
2013,2014,DE0006599905,MERCK KGAA,1.822324780704057e-18
2013,2014,DE0006602006,GEA GROUP,3.715974300581938e-18
2013,2014,DE0006969603,PUMA,7.10838434423891e-18
2013,2014,DE0007037129,RWE,1.2999509477370356e-18
2013,2014,DE0007100000,MERCEDES-BENZ GROUP N,0.0
2013,2014,DE0007164600,SAP,0.0
2013,2014,DE0007236101,SIEMENS,2.6151401446515597e-18
2013,2014,DE0007257503,CECONOMY,2.4577058578645e-18
2013,2014,DE0007500001,THYSSENKRUPP,0.0
2013,2014,DE0007664039,VOLKSWAGEN PREF.,1.3784491033991507e-18
2013,2014,DE0008232125,DEUTSCHE LUFTHANSA,0.0
2013,2014,DE0008402215,HANNOVER RUECK,1.4370037812934762e-18
2013,2014,DE0008404005,ALLIANZ,0.0
2013,2014,DE0008430026,MUNCH. RVRS.GESELL. MUNCH.N,0.0
2013,2014,DE000A0D9PT0,MTU AERO ENGINES HLDG.,9.222224690255354e-19
2013,2014,DE000A0S8488,HAMB.HAFEN UD.LOGISTIK,4.826610851579778e-18
2013,2014,DE000BASF111,BASF,1.2634389129695346e-18
2013,2014,DE000BAY0017,BAYER,0.0
2013,2014,DE000CBK1001,COMMERZBANK,0.0
2013,2014,DE000ENAG999,E ON N,7.699730196764619e-19
2013,2014,DE000KSAG888,K S N,1.888072884017324e-18
2013,2014,DE000TUAG505,TUI N,0.0
2013,2014,DK0010181759,CARLSBERG B,0.0
2013,2014,DK0010234467,FLSMIDTH AND B,0.0
2013,2014,DK0010244508,A P MOLLER MAERSK B,1.9080552031702266e-18
2013,2014,DK0010274414,DANSKE BANK,3.505679203944229e-18
2013,2014,DK0010287663,NKT,7.519769813333612e-19
2013,2014,DK0060079531,DSV,5.0550065548166874e-18
2013,2014,DK0060336014,NOVOZYMES B,0.0
2013,2014,DK0060448595,COLOPLAST B,0.08000448927316321
2013,2014,DK0060477503,TOPDANMARK DEAD - DELIST.21/10/24,1.4541668299949002e-18
2013,2014,DK0060636678,TRYG,0.0
2013,2014,DK0060738599,DEMANT,3.251346942192225e-18
2013,2014,DK0061539921,VESTAS WINDSYSTEMS,4.1339604723080817e-19
2013,2014,ES0109427734,ATRESMEDIA CORPN.DE MEDIOS DE CMNI.,0.0
2013,2014,ES0112501012,EBRO FOODS,8.054940798795517e-19
2013,2014,ES0113211835,BBV.ARGENTARIA,0.0
2013,2014,ES0113679I37,BANKINTER 'R',0.0
2013,2014,ES0113860A34,BANCO DE SABADELL,4.40625302966253e-19
2013,2014,ES0113900J37,BANCO SANTANDER,2.0492126584460827e-18
2013,2014,ES0116870314,NATURGY ENERGY GROUP,1.5798009215159138e-18
2013,2014,ES0118594417,INDRA SISTEMAS,1.5392660067136845e-18
2013,2014,ES0122060314,FOMENTO CONSTR.Y CNTR.,8.345102726451743e-20
2013,2014,ES0124244E34,MAPFRE,0.0
