date,formation_year,oos_year,portfolio_return,cumulative_index
2014-01-31,2013,2014,-0.03342473129531691,0.9665752687046831
2014-02-28,2013,2014,0.07106918428825448,1.0352689846047254
2014-03-31,2013,2014,-0.007198907681201382,1.027816178759345
2014-04-30,2013,2014,0.01982140441508791,1.0481889389029042
2014-05-30,2013,2014,0.012437547408905434,1.0612258385239992
2014-06-30,2013,2014,-0.0043130945503394155,1.056648671143182
2014-07-31,2013,2014,-0.039014683896656834,1.0154238572487082
2014-08-29,2013,2014,0.0056825258677800795,1.0211940295842852
2014-09-30,2013,2014,-0.03353621820260634,0.9869470437809478
2014-10-31,2013,2014,-0.02042306143093545,0.9667905636767293
2014-11-28,2013,2014,0.027479473012648817,0.9933574588801676
2014-12-31,2013,2014,-0.04031890442839235,0.9533063744323474
2015-01-30,2014,2015,-0.0017147480268574124,0.951671694207799
2015-02-27,2014,2015,0.06119611118443391,1.009910301017618
2015-03-31,2014,2015,-0.021163727733258097,0.9885368343718683
2015-04-30,2014,2015,0.037436240055956575,1.025543936607569
2015-05-29,2014,2015,-0.00455951993797225,1.0208679485813401
2015-06-30,2014,2015,-0.02666943313345012,0.9936419790885677
2015-07-31,2014,2015,0.03197980231843764,1.0254184531551211
2015-08-31,2014,2015,-0.06779033012267344,0.9559049977018543
2015-09-30,2014,2015,-0.04496031923946407,0.9129272038425797
2015-10-30,2014,2015,0.07254513310175473,0.9791556293575525
2015-11-30,2014,2015,-0.016960613164711064,0.9625485494999698
2015-12-31,2014,2015,-0.026197843369053404,0.9373318533650601
2016-01-29,2015,2016,-0.06544782084509655,0.8759855261536212
2016-02-29,2015,2016,-0.02176033404005155,0.8569237884902682
2016-03-31,2015,2016,0.06455193025285502,0.9122398731169042
2016-04-29,2015,2016,0.025037008179949,0.9350796302822078
2016-05-31,2015,2016,-0.0018419021922279298,0.9333573050612833
2016-06-30,2015,2016,-0.048451729117808325,0.8881345297463265
2016-07-29,2015,2016,0.040518099549223995,0.9241200530356913
2016-08-31,2015,2016,0.005358873204871173,0.9290722952259886
2016-09-30,2015,2016,0.007338017416193258,0.9358898439092594
2016-10-31,2015,2016,-0.03037522537586913,0.9074619789735288
2016-11-30,2015,2016,-0.022891954995538165,0.8866884001907047
2016-12-30,2015,2016,0.050339775311452305,0.9313240950275758
2017-01-31,2016,2017,0.018621136810406926,0.9486664084159129
2017-02-28,2016,2017,0.011476206275214822,0.959553499805261
2017-03-31,2016,2017,0.04154874861980064,0.9994217469559198
2017-04-28,2016,2017,0.03920043529258422,1.038599514477467
2017-05-31,2016,2017,0.05080640705381746,1.0913670241759061
2017-06-30,2016,2017,-0.009435785184280572,1.0810691193785749
2017-07-31,2016,2017,0.027460548466680314,1.1107558703271017
2017-08-31,2016,2017,-0.001361223405373515,1.1092438834387564
2017-09-29,2016,2017,0.035159561439573925,1.1482444119099928
2017-10-31,2016,2017,0.007582005430298502,1.1569504072764043
2017-11-30,2016,2017,0.003609537874021297,1.1611264635898328
2017-12-29,2016,2017,0.010957690568882506,1.1738497280891909
2018-01-31,2017,2018,0.05585930409302058,1.2394201570100345
2018-02-28,2017,2018,-0.05816061211566949,1.1673347220098318
2018-03-30,2017,2018,-0.01106405021419142,1.1544192720287458
2018-04-30,2017,2018,0.028355838640134128,1.187153798629454
2018-05-31,2017,2018,-0.030404337398810103,1.1510591739916451
2018-06-29,2017,2018,-0.004000972219735838,1.1464538182132324
2018-07-31,2017,2018,0.03183916348459482,1.1829559487588617
2018-08-31,2017,2018,-0.026163451629996236,1.1520057380130928
2018-09-28,2017,2018,0.0036578076928571682,1.1562195534638127
2018-10-31,2017,2018,-0.07546515474069565,1.068965265947448
2018-11-30,2017,2018,-0.004054173488931898,1.0646314953056548
2018-12-31,2017,2018,-0.05153388726463433,1.009766895848194
2019-01-31,2018,2019,0.06891605751651872,1.0793560493207446
2019-02-28,2018,2019,0.03433749896076447,1.1164184365425907
2019-03-29,2018,2019,0.009364418661945324,1.1268730461842897
2019-04-30,2018,2019,0.038238555991075146,1.1699630442556412
2019-05-31,2018,2019,-0.05270616938156636,1.1082987738749304
